2026-03-01 21:30:00 | DEBUG    | urllib3.connectionpool | https://eur-lex.europa.eu:443 "GET /legal-content/EN/TXT/HTML/?uri=CELEX:32024R1689 HTTP/11" 200 None
2026-03-01 21:30:00 | DEBUG    | downloading | Successfully fetched 1264455 bytes from https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32024R1689
2026-03-01 21:30:00 | INFO     | downloading | Parsed HTML document from https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32024R1689 (10292 elements)
2026-03-01 21:30:00 | INFO     | __main__ | Extracting document structure...
2026-03-01 21:30:00 | INFO     | __main__ | Starting document extraction
2026-03-01 21:30:00 | INFO     | __main__ | Extracted 180 recitals
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: I — GENERAL PROVISIONS
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: II — PROHIBITED AI PRACTICES
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 1 — Classification of AI systems as high-risk
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 2 — Requirements for high-risk AI systems
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 3 — Obligations of providers and deployers of high-risk AI systems and other parties
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 4 — Notifying authorities and notified bodies
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 5 — Standards, conformity assessment, certificates, registration
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: III — HIGH-RISK AI SYSTEMS
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: IV — TRANSPARENCY OBLIGATIONS FOR PROVIDERS AND DEPLOYERS OF CERTAIN AI SYSTEMS
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 1 — Classification rules
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 2 — Obligations for providers of general-purpose AI models
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 3 — Obligations of providers of general-purpose AI models with systemic risk
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 4 — Codes of practice
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: V — GENERAL-PURPOSE AI MODELS
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: VI — MEASURES IN SUPPORT OF INNOVATION
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 1 — Governance at Union level
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 2 — National competent authorities
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: VII — GOVERNANCE
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: VIII — EU DATABASE FOR HIGH-RISK AI SYSTEMS
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 1 — Post-market monitoring
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 2 — Sharing of information on serious incidents
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 3 — Enforcement
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 4 — Remedies
2026-03-01 21:30:00 | DEBUG    | __main__ |   Found section: 5 — Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: IX — POST-MARKET MONITORING, INFORMATION SHARING AND MARKET SURVEILLANCE
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: X — CODES OF CONDUCT AND GUIDELINES
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: XI — DELEGATION OF POWER AND COMMITTEE PROCEDURE
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: XII — PENALTIES
2026-03-01 21:30:00 | DEBUG    | __main__ | Found chapter: XIII — FINAL PROVISIONS
2026-03-01 21:30:00 | INFO     | __main__ | Extracted 13 chapters, 0 standalone articles
2026-03-01 21:30:00 | INFO     | __main__ | Extracted 13 annexes
2026-03-01 21:30:00 | INFO     | __main__ | Collected 75 total cross-references
2026-03-01 21:30:00 | INFO     | __main__ | Saved extraction to /home/dariast/cortex-ai-act/services/knowledge-graph/data/ai_act_extracted.json
